series,seriesID,survey
"Number of work stoppages, beginning in the period ",WSU100,WSP
"Number of work stoppages, in effect in the period ",WSU200,WSP
"Number of workers involved, beginning in the period ",WSU010,WSP
"Number of workers involved, in effect in the period ",WSU020,WSP
"Days of idleness, in effect in the period ",WSU001,WSP
"Days of idleness, in effect as a percent of total estimated working time ",WSU002,WSP
Avg hrs per day  Leisure and sports (includes travel) ,TUU10101AA01013585,ATUS
"Avg hrs per day  Leisure and sports (includes travel), Nonholiday weekdays ",TUU10101AA01013590,ATUS
"Avg hrs per day  Leisure and sports (includes travel), Weekend days and holidays ",TUU10101AA01013588,ATUS
Avg hrs per day  Watching TV ,TUU10101AA01014236,ATUS
"Avg hrs per day  Watching TV, Nonholiday weekdays ",TUU10101AA01014241,ATUS
"Avg hrs per day  Watching TV, Weekend days and holidays ",TUU10101AA01014239,ATUS
Avg hrs per day  Socializing and communicating ,TUU10101AA01013951,ATUS
"Avg hrs per day  Socializing and communicating, Nonholiday weekdays ",TUU10101AA01013956,ATUS
"Avg hrs per day  Socializing and communicating, Weekend days and holidays ",TUU10101AA01013954,ATUS
"Avg hrs per day  Caring for and helping household children, Parents with youngest household child 6 - 12 yrs",TUU10101AA01042892,ATUS
"Avg hrs per day  Caring for and helping household children, Parents with youngest household child 6 - 12 yrs, Men",TUU10101AA01042907,ATUS
"Avg hrs per day  Caring for and helping household children, Parents with youngest household child 6 - 12 yrs, Women",TUU10101AA01042922,ATUS
"Avg hrs per day  Caring for and helping household children, Parents of household children under 6 yrs ",TUU10101AA01042901,ATUS
"Avg hrs per day  Caring for and helping household children, Parents of household children under 6 yrs, Men ",TUU10101AA01042916,ATUS
"Avg hrs per day  Caring for and helping household children, Parents of household children under 6 yrs, Women ",TUU10101AA01042931,ATUS
Avg hrs per day  Household activities (includes travel) ,TUU10101AA01009381,ATUS
"Avg hrs per day  Household activities (includes travel), Men ",TUU10101AA01009497,ATUS
"Avg hrs per day  Household activities (includes travel), Women ",TUU10101AA01009613,ATUS
Avg hrs per day  Housework ,TUU10101AA01000865,ATUS
"Avg hrs per day  Housework, Men ",TUU10101AA01000944,ATUS
"Avg hrs per day  Housework, Women ",TUU10101AA01001023,ATUS
Avg hrs per day  Food preparation and cleanup ,TUU10101AA01001102,ATUS
"Avg hrs per day  Food preparation and cleanup, Men ",TUU10101AA01001181,ATUS
"Avg hrs per day  Food preparation and cleanup, Women ",TUU10101AA01001260,ATUS
"Percent participating on an avg day  Working, Employed ",TUU30105AA01002864,ATUS
"Percent participating on an avg day  Working, Employed, Men ",TUU30105AA01002999,ATUS
"Percent participating on an avg day  Working, Employed, Women ",TUU30105AA01003084,ATUS
"Percent participating on an avg day  Working, Nonholiday weekdays, Employed ",TUU30105AA01002866,ATUS
"Percent participating on an avg day  Working, Weekend days and holidays, Employed ",TUU30105AA01002865,ATUS
"Percent participating on an avg day  Working, Employed full time ",TUU30105AA01002902,ATUS
"Percent participating on an avg day  Working at home, Employed, on days worked ",TUU30105AA01043855,ATUS
"Avg hrs per day for participants  Working, Employed ",TUU20101AA01002864,ATUS
"Avg hrs per day for participants  Working, Employed, Men ",TUU20101AA01002999,ATUS
"Avg hrs per day for participants  Working, Employed, Women ",TUU20101AA01003084,ATUS
"Avg hrs per day for participants  Working, Nonholiday weekdays, Employed ",TUU20101AA01002866,ATUS
"Avg hrs per day for participants  Working, Weekend days and holidays, Employed ",TUU20101AA01002865,ATUS
"Avg hrs per day for participants  Working, Employed full time ",TUU20101AA01002902,ATUS
"Avg hrs per day for participants  Working at home, Employed ",TUU20101AA01002870,ATUS
Average annual expenditures ,CXUTOTALEXPLB0201M,CE
Food ,CXUFOODTOTLLB0201M,CE
Food at Home ,CXUFOODHOMELB0201M,CE
Food Away from Home ,CXUFOODAWAYLB0201M,CE
Housing ,CXUHOUSINGLB1701M,CE
Housing: Home Owner ,CXUHOUSINGLB1702M,CE
Housing: Renter ,CXUHOUSINGLB1705M,CE
Apparel and services ,CXUAPPARELLB0201M,CE
Transportation ,CXUTRANSLB0201M,CE
"Gasoline, other fuels, and motor oil ",CXUGASOILLB0201M,CE
Healthcare ,CXUHEALTHLB0201M,CE
Entertainment ,CXUENTRTAINLB0201M,CE
Type of Area: Urban ,CXUTOTALEXPLB1902M,CE
Type of Area: Rural ,CXUTOTALEXPLB1905M,CE
Retirees ,CXUTOTALEXPLB1209M,CE
Generation: Birth year of 1997 or later ,CXUTOTALEXPLB1607M,CE
Generation: Birth year from 1981 to 1996 ,CXUTOTALEXPLB1608M,CE
Generation: Birth year from 1965 to 1980 ,CXUTOTALEXPLB1603M,CE
Generation: Birth year from 1946 to 1964 ,CXUTOTALEXPLB1604M,CE
