survey,series,seriesID,state
CES,"Total Nonfarm, Seasonally adjusted",SMS01000000000000001, Alabama
CES,"Mining and Logging, Seasonally adjusted",SMS01000001000000001, Alabama
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS01000001500000001, Alabama
CES,"Construction, Seasonally adjusted",SMS01000002000000001, Alabama
CES,"Manufacturing, Seasonally adjusted",SMS01000003000000001, Alabama
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS01000004000000001, Alabama
CES,"Information, Seasonally adjusted",SMS01000005000000001, Alabama
CES,"Financial Activities, Seasonally adjusted",SMS01000005500000001, Alabama
CES,"Professional and Business Services, Seasonally adjusted",SMS01000006000000001, Alabama
CES,"Education and Health Services, Seasonally adjusted",SMS01000006500000001, Alabama
CES,"Leisure and Hospitality, Seasonally adjusted",SMS01000007000000001, Alabama
CES,"Other Services, Seasonally adjusted",SMS01000008000000001, Alabama
CES,"Government, Seasonally adjusted",SMS01000009000000001, Alabama
CES,"Total Nonfarm, Not seasonally adjusted",SMU01000000000000001, Alabama
CES,"Mining and Logging, Not seasonally adjusted",SMU01000001000000001, Alabama
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU01000001500000001, Alabama
CES,"Construction, Not seasonally adjusted",SMU01000002000000001, Alabama
CES,"Manufacturing, Not seasonally adjusted",SMU01000003000000001, Alabama
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU01000004000000001, Alabama
CES,"Information, Not seasonally adjusted",SMU01000005000000001, Alabama
CES,"Financial Activities, Not seasonally adjusted",SMU01000005500000001, Alabama
CES,"Professional and Business Services, Not seasonally adjusted",SMU01000006000000001, Alabama
CES,"Education and Health Services, Not seasonally adjusted",SMU01000006500000001, Alabama
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU01000007000000001, Alabama
CES,"Other Services, Not seasonally adjusted",SMU01000008000000001, Alabama
CES,"Government, Not seasonally adjusted",SMU01000009000000001, Alabama
CES,"Total Nonfarm, Seasonally adjusted",SMS02000000000000001, Alaska
CES,"Mining and Logging, Seasonally adjusted",SMS02000001000000001, Alaska
CES," Mining, Logging, and Construction, Seasonally adjusted",SMS02000001500000001, Alaska
CES,"Construction, Seasonally adjusted",SMS02000002000000001, Alaska
CES,"Manufacturing, Seasonally adjusted",SMS02000003000000001, Alaska
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS02000004000000001, Alaska
CES,"Information, Seasonally adjusted",SMS02000005000000001, Alaska
CES,"Financial Activities, Seasonally adjusted",SMS02000005500000001, Alaska
CES,"Professional and Business Services, Seasonally adjusted",SMS02000006000000001, Alaska
CES,"Education and Health Services, Seasonally adjusted",SMS02000006500000001, Alaska
CES,"Leisure and Hospitality, Seasonally adjusted",SMS02000007000000001, Alaska
CES,"Other Services, Seasonally adjusted",SMS02000008000000001, Alaska
CES,"Government, Seasonally adjusted",SMS02000009000000001, Alaska
CES,"Total Nonfarm, Not seasonally adjusted",SMU02000000000000001, Alaska
CES,"Mining and Logging, Not seasonally adjusted",SMU02000001000000001, Alaska
CES," Mining, Logging, and Construction, Not seasonally adjusted",SMU02000001500000001, Alaska
CES,"Construction, Not seasonally adjusted",SMU02000002000000001, Alaska
CES,"Manufacturing, Not seasonally adjusted",SMU02000003000000001, Alaska
CES,"Durable Goods, Not seasonally adjusted",SMU02000003100000001, Alaska
