"seriesid","year","period","period_name","value","footnotes"
"WSU100",2021,"M12","December","1","[{}]"
"WSU100",2021,"M11","November","1","[{}]"
"WSU100",2021,"M10","October","4","[{}]"
"WSU100",2021,"M09","September","1","[{}]"
"WSU100",2021,"M08","August","1","[{}]"
"WSU100",2021,"M07","July","1","[{}]"
"WSU100",2021,"M06","June","1","[{}]"
"WSU100",2021,"M05","May","0","[{}]"
"WSU100",2021,"M04","April","3","[{}]"
"WSU100",2021,"M03","March","2","[{}]"
"WSU100",2021,"M02","February","0","[{}]"
"WSU100",2021,"M01","January","1","[{}]"
"WSU100",2020,"M12","December","1","[{}]"
"WSU100",2020,"M11","November","0","[{}]"
"WSU100",2020,"M10","October","1","[{}]"
"WSU100",2020,"M09","September","2","[{}]"
"WSU100",2020,"M08","August","0","[{}]"
"WSU100",2020,"M07","July","0","[{}]"
"WSU100",2020,"M06","June","1","[{}]"
"WSU100",2020,"M05","May","0","[{}]"
"WSU100",2020,"M04","April","0","[{}]"
"WSU100",2020,"M03","March","2","[{}]"
"WSU100",2020,"M02","February","0","[{}]"
"WSU100",2020,"M01","January","1","[{}]"
"WSU100",2019,"M12","December","2","[{}]"
"WSU100",2019,"M11","November","0","[{}]"
"WSU100",2019,"M10","October","3","[{}]"
"WSU100",2019,"M09","September","3","[{}]"
"WSU100",2019,"M08","August","2","[{}]"
"WSU100",2019,"M07","July","0","[{}]"
"WSU100",2019,"M06","June","0","[{}]"
"WSU100",2019,"M05","May","4","[{}]"
"WSU100",2019,"M04","April","3","[{}]"
"WSU100",2019,"M03","March","2","[{}]"
"WSU100",2019,"M02","February","5","[{}]"
"WSU100",2019,"M01","January","1","[{}]"
"WSU100",2018,"M12","December","1","[{}]"
"WSU100",2018,"M11","November","0","[{}]"
"WSU100",2018,"M10","October","2","[{}]"
"WSU100",2018,"M09","September","3","[{}]"
"WSU100",2018,"M08","August","1","[{}]"
"WSU100",2018,"M07","July","2","[{}]"
"WSU100",2018,"M06","June","2","[{}]"
"WSU100",2018,"M05","May","2","[{}]"
"WSU100",2018,"M04","April","4","[{}]"
"WSU100",2018,"M03","March","2","[{}]"
"WSU100",2018,"M02","February","1","[{}]"
"WSU100",2018,"M01","January","0","[{}]"
"WSU100",2017,"M12","December","1","[{}]"
"WSU100",2017,"M11","November","0","[{}]"
"WSU100",2017,"M10","October","0","[{}]"
"WSU100",2017,"M09","September","1","[{}]"
"WSU100",2017,"M08","August","1","[{}]"
"WSU100",2017,"M07","July","1","[{}]"
"WSU100",2017,"M06","June","0","[{}]"
"WSU100",2017,"M05","May","0","[{}]"
"WSU100",2017,"M04","April","0","[{}]"
"WSU100",2017,"M03","March","2","[{}]"
"WSU100",2017,"M02","February","0","[{}]"
"WSU100",2017,"M01","January","1","[{}]"
"WSU100",2016,"M12","December","0","[{}]"
"WSU100",2016,"M11","November","1","[{}]"
"WSU100",2016,"M10","October","1","[{}]"
"WSU100",2016,"M09","September","3","[{}]"
"WSU100",2016,"M08","August","0","[{}]"
"WSU100",2016,"M07","July","1","[{}]"
"WSU100",2016,"M06","June","2","[{}]"
"WSU100",2016,"M05","May","2","[{}]"
"WSU100",2016,"M04","April","2","[{}]"
"WSU100",2016,"M03","March","1","[{}]"
"WSU100",2016,"M02","February","1","[{}]"
"WSU100",2016,"M01","January","1","[{}]"
"WSU100",2015,"M12","December","1","[{}]"
"WSU100",2015,"M11","November","3","[{}]"
"WSU100",2015,"M10","October","0","[{}]"
"WSU100",2015,"M09","September","2","[{}]"
"WSU100",2015,"M08","August","2","[{}]"
"WSU100",2015,"M07","July","0","[{}]"
"WSU100",2015,"M06","June","0","[{}]"
"WSU100",2015,"M05","May","0","[{}]"
"WSU100",2015,"M04","April","2","[{}]"
"WSU100",2015,"M03","March","0","[{}]"
"WSU100",2015,"M02","February","1","[{}]"
"WSU100",2015,"M01","January","1","[{}]"
"WSU100",2014,"M12","December","2","[{}]"
"WSU100",2014,"M11","November","2","[{}]"
"WSU100",2014,"M10","October","2","[{}]"
"WSU100",2014,"M09","September","1","[{}]"
"WSU100",2014,"M08","August","1","[{}]"
"WSU100",2014,"M07","July","0","[{}]"
"WSU100",2014,"M06","June","0","[{}]"
"WSU100",2014,"M05","May","0","[{}]"
"WSU100",2014,"M04","April","2","[{}]"
"WSU100",2014,"M03","March","0","[{}]"
"WSU100",2014,"M02","February","1","[{}]"
"WSU100",2014,"M01","January","0","[{}]"
"WSU100",2013,"M12","December","2","[{}]"
"WSU100",2013,"M11","November","2","[{}]"
"WSU100",2013,"M10","October","3","[{}]"
"WSU100",2013,"M09","September","1","[{}]"
"WSU100",2013,"M08","August","0","[{}]"
"WSU100",2013,"M07","July","2","[{}]"
"WSU100",2013,"M06","June","0","[{}]"
"WSU100",2013,"M05","May","3","[{}]"
"WSU100",2013,"M04","April","0","[{}]"
"WSU100",2013,"M03","March","0","[{}]"
"WSU100",2013,"M02","February","1","[{}]"
"WSU100",2013,"M01","January","1","[{}]"
"WSU100",2012,"M12","December","3","[{}]"
"WSU100",2012,"M11","November","5","[{}]"
"WSU100",2012,"M10","October","0","[{}]"
"WSU100",2012,"M09","September","1","[{}]"
"WSU100",2012,"M08","August","1","[{}]"
"WSU100",2012,"M07","July","2","[{}]"
"WSU100",2012,"M06","June","2","[{}]"
"WSU100",2012,"M05","May","1","[{}]"
"WSU100",2012,"M04","April","1","[{}]"
"WSU100",2012,"M03","March","1","[{}]"
"WSU100",2012,"M02","February","0","[{}]"
"WSU100",2012,"M01","January","2","[{}]"
"WSU100",2011,"M12","December","1","[{}]"
"WSU100",2011,"M11","November","1","[{}]"
"WSU100",2011,"M10","October","0","[{}]"
"WSU100",2011,"M09","September","4","[{}]"
"WSU100",2011,"M08","August","2","[{}]"
"WSU100",2011,"M07","July","0","[{}]"
"WSU100",2011,"M06","June","3","[{}]"
"WSU100",2011,"M05","May","3","[{}]"
"WSU100",2011,"M04","April","1","[{}]"
"WSU100",2011,"M03","March","4","[{}]"
"WSU100",2011,"M02","February","0","[{}]"
"WSU100",2011,"M01","January","0","[{}]"
"WSU100",2010,"M12","December","1","[{}]"
"WSU100",2010,"M11","November","0","[{}]"
"WSU100",2010,"M10","October","1","[{}]"
"WSU100",2010,"M09","September","1","[{}]"
"WSU100",2010,"M08","August","0","[{}]"
"WSU100",2010,"M07","July","1","[{}]"
"WSU100",2010,"M06","June","2","[{}]"
"WSU100",2010,"M05","May","1","[{}]"
"WSU100",2010,"M04","April","3","[{}]"
"WSU100",2010,"M03","March","1","[{}]"
"WSU100",2010,"M02","February","0","[{}]"
"WSU100",2010,"M01","January","0","[{}]"
"WSU100",2009,"M12","December","0","[{}]"
"WSU100",2009,"M11","November","2","[{}]"
"WSU100",2009,"M10","October","0","[{}]"
"WSU100",2009,"M09","September","0","[{}]"
"WSU100",2009,"M08","August","1","[{}]"
"WSU100",2009,"M07","July","1","[{}]"
"WSU100",2009,"M06","June","1","[{}]"
"WSU100",2009,"M05","May","0","[{}]"
"WSU100",2009,"M04","April","0","[{}]"
"WSU100",2009,"M03","March","0","[{}]"
"WSU100",2009,"M02","February","0","[{}]"
