"seriesid","series","state","survey","is_adjusted"
"SMS01000000000000001","Total Nonfarm","Alabama","CES",True
"SMS01000001000000001","Mining and Logging","Alabama","CES",True
"SMS01000001500000001","Mining, Logging, and Construction","Alabama","CES",True
"SMS01000002000000001","Construction","Alabama","CES",True
"SMS01000003000000001","Manufacturing","Alabama","CES",True
"SMS01000004000000001","Trade, Transportation, and Utilities","Alabama","CES",True
"SMS01000005000000001","Information","Alabama","CES",True
"SMS01000005500000001","Financial Activities","Alabama","CES",True
"SMS01000006000000001","Professional and Business Services","Alabama","CES",True
"SMS01000006500000001","Education and Health Services","Alabama","CES",True
"SMS01000007000000001","Leisure and Hospitality","Alabama","CES",True
"SMS01000008000000001","Other Services","Alabama","CES",True
"SMS01000009000000001","Government","Alabama","CES",True
"SMU01000000000000001","Total Nonfarm","Alabama","CES",False
"SMU01000001000000001","Mining and Logging","Alabama","CES",False
"SMU01000001500000001","Mining, Logging, and Construction","Alabama","CES",False
"SMU01000002000000001","Construction","Alabama","CES",False
"SMU01000003000000001","Manufacturing","Alabama","CES",False
"SMU01000004000000001","Trade, Transportation, and Utilities","Alabama","CES",False
"SMU01000005000000001","Information","Alabama","CES",False
"SMU01000005500000001","Financial Activities","Alabama","CES",False
"SMU01000006000000001","Professional and Business Services","Alabama","CES",False
"SMU01000006500000001","Education and Health Services","Alabama","CES",False
"SMU01000007000000001","Leisure and Hospitality","Alabama","CES",False
"SMU01000008000000001","Other Services","Alabama","CES",False
"SMU01000009000000001","Government","Alabama","CES",False
"SMS02000000000000001","Total Nonfarm","Alaska","CES",True
"SMS02000001000000001","Mining and Logging","Alaska","CES",True
"SMS02000001500000001","Mining, Logging, and Construction","Alaska","CES",True
"SMS02000002000000001","Construction","Alaska","CES",True
"SMS02000003000000001","Manufacturing","Alaska","CES",True
"SMS02000004000000001","Trade, Transportation, and Utilities","Alaska","CES",True
"SMS02000005000000001","Information","Alaska","CES",True
"SMS02000005500000001","Financial Activities","Alaska","CES",True
"SMS02000006000000001","Professional and Business Services","Alaska","CES",True
"SMS02000006500000001","Education and Health Services","Alaska","CES",True
"SMS02000007000000001","Leisure and Hospitality","Alaska","CES",True
"SMS02000008000000001","Other Services","Alaska","CES",True
"SMS02000009000000001","Government","Alaska","CES",True
"SMU02000000000000001","Total Nonfarm","Alaska","CES",False
"SMU02000001000000001","Mining and Logging","Alaska","CES",False
"SMU02000001500000001","Mining, Logging, and Construction","Alaska","CES",False
"SMU02000002000000001","Construction","Alaska","CES",False
"SMU02000003000000001","Manufacturing","Alaska","CES",False
"SMU02000003100000001","Durable Goods","Alaska","CES",False
"SMU02000003200000001","Non-Durable Goods","Alaska","CES",False
"SMU02000004000000001","Trade, Transportation, and Utilities","Alaska","CES",False
"SMU02000005000000001","Information","Alaska","CES",False
"SMU02000005500000001","Financial Activities","Alaska","CES",False
"SMU02000006000000001","Professional and Business Services","Alaska","CES",False
"SMU02000006500000001","Education and Health Services","Alaska","CES",False
"SMU02000007000000001","Leisure and Hospitality","Alaska","CES",False
"SMU02000008000000001","Other Services","Alaska","CES",False
"SMU02000009000000001","Government","Alaska","CES",False
"SMU04000005500000001","Financial Activities","Arizona","CES",False
"SMU04000006000000001","Professional and Business Services","Arizona","CES",False
"SMU04000006500000001","Education and Health Services","Arizona","CES",False
"SMU04000007000000001","Leisure and Hospitality","Arizona","CES",False
"SMU04000008000000001","Other Services","Arizona","CES",False
"SMU04000009000000001","Government","Arizona","CES",False
"SMS04000000000000001","Total Nonfarm","Arizona","CES",True
"SMS04000001000000001","Mining and Logging","Arizona","CES",True
"SMS04000001500000001","Mining, Logging, and Construction","Arizona","CES",True
"SMS04000002000000001","Construction","Arizona","CES",True
"SMS04000003000000001","Manufacturing","Arizona","CES",True
"SMS04000004000000001","Trade, Transportation, and Utilities","Arizona","CES",True
"SMS04000005000000001","Information","Arizona","CES",True
"SMS04000005500000001","Financial Activities","Arizona","CES",True
"SMS04000006000000001","Professional and Business Services","Arizona","CES",True
"SMS04000006500000001","Education and Health Services","Arizona","CES",True
"SMS04000007000000001","Leisure and Hospitality","Arizona","CES",True
"SMS04000008000000001","Other Services","Arizona","CES",True
"SMS04000009000000001","Government","Arizona","CES",True
"SMU04000000000000001","Total Nonfarm","Arizona","CES",False
"SMU04000001000000001","Mining and Logging","Arizona","CES",False
"SMU04000001500000001","Mining, Logging, and Construction","Arizona","CES",False
"SMU04000002000000001","Construction","Arizona","CES",False
"SMU04000003000000001","Manufacturing","Arizona","CES",False
"SMU04000004000000001","Trade, Transportation, and Utilities","Arizona","CES",False
"SMU04000005000000001","Information","Arizona","CES",False
"SMU05000000000000001","Total Nonfarm","Arkansas","CES",False
"SMU05000001000000001","Mining and Logging","Arkansas","CES",False
"SMU05000001500000001","Mining, Logging, and Construction","Arkansas","CES",False
"SMU05000002000000001","Construction","Arkansas","CES",False
"SMU05000003000000001","Manufacturing","Arkansas","CES",False
"SMU05000004000000001","Trade, Transportation, and Utilities","Arkansas","CES",False
"SMU05000005000000001","Information","Arkansas","CES",False
"SMU05000005500000001","Financial Activities","Arkansas","CES",False
"SMU05000006000000001","Professional and Business Services","Arkansas","CES",False
"SMU05000006500000001","Education and Health Services","Arkansas","CES",False
"SMU05000007000000001","Leisure and Hospitality","Arkansas","CES",False
"SMU05000008000000001","Other Services","Arkansas","CES",False
"SMU05000009000000001","Government","Arkansas","CES",False
"SMS05000000000000001","Total Nonfarm","Arkansas","CES",True
"SMS05000001000000001","Mining and Logging","Arkansas","CES",True
"SMS05000001500000001","Mining, Logging, and Construction","Arkansas","CES",True
"SMS05000002000000001","Construction","Arkansas","CES",True
"SMS05000003000000001","Manufacturing","Arkansas","CES",True
"SMS05000004000000001","Trade, Transportation, and Utilities","Arkansas","CES",True
"SMS05000005500000001","Financial Activities","Arkansas","CES",True
"SMS05000006000000001","Professional and Business Services","Arkansas","CES",True
"SMS05000006500000001","Education and Health Services","Arkansas","CES",True
"SMS05000007000000001","Leisure and Hospitality","Arkansas","CES",True
"SMS05000008000000001","Other Services","Arkansas","CES",True
"SMS05000009000000001","Government","Arkansas","CES",True
"SMU06000000000000001","Total Nonfarm","California","CES",False
"SMU06000001000000001","Mining and Logging","California","CES",False
"SMU06000001500000001","Mining, Logging, and Construction","California","CES",False
"SMU06000002000000001","Construction","California","CES",False
"SMU06000003000000001","Manufacturing","California","CES",False
"SMU06000004000000001","Trade, Transportation, and Utilities","California","CES",False
"SMU06000005000000001","Information","California","CES",False
"SMU06000005500000001","Financial Activities","California","CES",False
"SMU06000006000000001","Professional and Business Services","California","CES",False
"SMU06000006500000001","Education and Health Services","California","CES",False
"SMU06000007000000001","Leisure and Hospitality","California","CES",False
"SMU06000008000000001","Other Services","California","CES",False
"SMU06000009000000001","Government","California","CES",False
"SMS06000000000000001","Total Nonfarm","California","CES",True
"SMS06000001000000001","Mining and Logging","California","CES",True
"SMS06000001500000001","Mining, Logging, and Construction","California","CES",True
"SMS06000002000000001","Construction","California","CES",True
"SMS06000003000000001","Manufacturing","California","CES",True
"SMS06000004000000001","Trade, Transportation, and Utilities","California","CES",True
"SMS06000005000000001","Information","California","CES",True
"SMS06000005500000001","Financial Activities","California","CES",True
"SMS06000006000000001","Professional and Business Services","California","CES",True
"SMS06000006500000001","Education and Health Services","California","CES",True
"SMS06000007000000001","Leisure and Hospitality","California","CES",True
"SMS06000008000000001","Other Services","California","CES",True
"SMS06000009000000001","Government","California","CES",True
"SMU08000000000000001","Total Nonfarm","Colorado","CES",False
"SMU08000001000000001","Mining and Logging","Colorado","CES",False
"SMU08000001500000001","Mining, Logging, and Construction","Colorado","CES",False
"SMU08000002000000001","Construction","Colorado","CES",False
"SMU08000003000000001","Manufacturing","Colorado","CES",False
"SMU08000004000000001","Trade, Transportation, and Utilities","Colorado","CES",False
"SMU08000005000000001","Information","Colorado","CES",False
